global DFT,global FCI,huz emb FCI,mu emb FCI,global H,huz H emb,mu H emb,global n qubits,huz n qubits,mu n qubits,N active MOs
-73.29752949987834,-72.98105590345091,-72.89535122094904,-72.89535701108146,2110,1079,1079,14,12,12,4
-74.8109305064564,-74.49921989683642,-74.48114364683667,-74.48114525013239,2110,1079,1079,14,12,12,4
-75.15948118539376,-74.85108873990455,-74.87137099542099,-74.87137146185744,1086,1079,1079,14,12,12,4
-75.20742070424211,-74.90065800552202,-74.9433929955475,-74.94339313811965,2110,1079,1079,14,12,12,4
-75.1717056574665,-74.8674976309276,-74.92156755299865,-74.92156761056562,2110,1079,1079,14,12,12,4
-75.09459376718384,-74.80753922525712,-74.85449855097671,-74.85449857605126,2110,1079,1079,14,12,12,4
-74.99967919739412,-74.7762632652802,-74.7626344687629,-74.76263447421913,2110,1079,1079,14,12,12,4
-74.92769945138743,-74.77169382391949,-74.69105361401644,-74.69105361274866,2250,1095,1151,14,12,12,4
-74.9132477230138,-74.77171855336886,-74.67653839489925,-74.67653839324814,2170,1107,1131,14,12,12,4
-74.90947876271167,-74.77171842483776,-74.67270234795765,-74.67270234611638,3062,1791,1799,14,12,12,4
