global DFT,global FCI,huz emb FCI,mu emb FCI,global H,huz H emb,mu H emb,global n qubits,huz n qubits,mu n qubits,N active MOs
-73.29752949987832,-72.98105590345088,-72.99540252623625,-72.995402891219,2110,1079,1079,14,12,12,4
-74.81093050645643,-74.49921989683645,-74.51592417595342,-74.51592461495908,2110,1079,1079,14,12,12,4
-75.15948118539376,-74.85108873990455,-74.871370995421,-74.87137146159029,1086,1079,1079,14,12,12,4
-75.20742070424211,-74.90065800552206,-74.92558641312714,-74.92558688967264,2110,1079,1079,14,12,12,4
-75.17170565746645,-74.86749763092756,-74.89826520638019,-74.89826568661121,2110,1079,1079,14,12,12,4
-75.09459376718374,-74.80753922525699,-74.84808209818395,-74.84808258105616,2110,1079,1079,14,12,12,4
-74.99967919739397,-74.7762632652802,-74.82424268049165,-74.82424316149948,2110,1079,1079,14,12,12,4
-74.9277005405719,-74.77168695869028,-74.8275337563882,-74.82753423630531,2430,1219,1107,14,12,12,4
-74.911246516901,-74.77171855269476,-74.82764331697273,-74.82764379720089,2314,1819,1191,14,12,12,4
-74.90949472464955,-74.77171842504114,-74.82763911087062,-74.82763959064084,3282,1807,1795,14,12,12,4
